Lookup,Scalebook.y,Scale#,Fish#,Hatchery,Number,FishLookup,Sex,Origin,Region,FL(mm),CirculiFW,CirculiTotal,FWG1a,FWG1t,FWG2a,FWG2t,MG1a,MG1t,MG2a,MG2t,MGAvg,TotalScaleLen
8788110,87881,20,10,Chilliwack,235,Chilliwack235,M,Wild,WCVI,560,24,59,29.35111111,528.32,39.16416667,234.985,40.147,401.47,38.64055556,347.765,39.43342105,1512.54
878561,87856,11,1,Chilliwack,236,Chilliwack236,F,Wild,WCVI,620,28,67,27.79625,444.74,21.85916667,262.31,40.81,408.1,40.532,202.66,40.71733333,1317.81
878563,87856,3,3,Chilliwack,239,Chilliwack239,M,Wild,WCVI,700,25,62,29.64,385.32,19.85,238.2,35.165,351.65,44.9225,359.38,39.50166667,1334.55
878567,87856,27,7,Chilliwack,243,Chilliwack243,M,Clip,WCVI,565,25,57,24.38,438.84,18.80428571,131.63,37.374,373.74,46.89,375.12,41.60333333,1319.33
878568,87856,18,8,Chilliwack,244,Chilliwack244,F,Clip,WCVI,585,28,62,24.1765,483.53,20.22625,161.81,35.462,354.62,40.878,204.39,37.26733333,1204.35
463534,46353,14,4,Quinsam,4,Quinsam4,M,Wild,WCVI,770,33,66,19.52424242,429.5333333,19.05,209.55,41.997,419.97,,,,
463539,46353,39,9,Quinsam,10,Quinsam10,M,Clip,WCVI,765,32,64,22.2075,444.15,21.565,258.78,43.7265,437.265,49.195,49.195,44.22363636,1189.39
4635310,46353,30,10,Quinsam,11,Quinsam11,M,Clip,WCVI,650,36,66,22.145,487.19,23.64714286,331.06,40.36714286,282.57,,,,
463771,46377,1,1,Quinsam,19,Quinsam19,M,Clip,WCVI,730,32,80,21.863,546.575,21.64,151.48,41.8615,418.615,48.95,48.95,42.50590909,1165.62
463775,46377,45,5,Quinsam,26,Quinsam26,F,Clip,WCVI,750,30,74,24.3675,438.615,23.44916667,281.39,49.1745,491.745,41.80333333,125.41,47.47346154,1337.16
4637710,46377,40,10,Quinsam,33,Quinsam33,F,Clip,WCVI,700,29,66,24.74,395.84,21.06487179,273.8433333,35.88466667,358.8466667,39.4925,157.97,36.91547619,1186.5
859402,85940,2,2,Quinsam,35,Quinsam35,M,Clip,WCVI,640,27,64,22.98342105,436.685,18.126875,145.015,41.7885,417.885,42.40333333,254.42,42.0190625,1254.005
859403,85940,3,3,Quinsam,40,Quinsam40,M,Clip,WCVI,740,27,64,23.53613636,517.795,23.105,115.525,44.6165,446.165,49.6875,298.125,46.518125,1377.61
859405,85940,45,5,Quinsam,42,Quinsam42,M,Wild,WCVI,770,37,67,23.30928571,652.66,39.21944444,352.975,56.27833333,337.67,,,,
859406,85940,36,6,Quinsam,43,Quinsam43,F,Wild,WCVI,730,10,57,27.45428571,192.18,23.11,69.33,30.284,302.84,37.02847826,851.655,34.98469697,1416.005
859407,85940,27,7,Quinsam,44,Quinsam44,F,Wild,WCVI,585,18,57,26.93888889,242.45,20.07777778,180.7,30.425,304.25,32.542,488.13,31.6952,1215.53
859409,85940,19,9,Quinsam,57,Quinsam57,F,Clip,WCVI,770,30,65,23.62714286,496.17,20.45555556,184.1,39.6425,396.425,51.41166667,154.235,42.35846154,1230.93
516982,51698,2,2,Quinsam,76,Quinsam76,M,Wild,WCVI,820,19,70,21.75638889,261.0766667,29.27,204.89,36.736,367.36,46.36238095,649.0733333,42.35138889,1482.4
516987,51698,17,7,Quinsam,84,Quinsam84,M,Clip,WCVI,785,27,76,23.18333333,463.6666667,22.21666667,155.5166667,36.58333333,365.8333333,45.98722222,275.9233333,40.10979166,1260.94
516989,51698,29,9,Quinsam,86,Quinsam86,M,Clip,WCVI,710,26,69,20.17439394,443.8366667,26.655,106.62,40.27966667,402.7966667,41.90571429,293.34,40.94921569,1246.593333
5169810,51698,50,10,Quinsam,88,Quinsam88,M,Wild,WCVI,660,27,69,18.56909091,408.52,23.188,115.94,37.7585,377.585,38.91333333,233.48,38.1915625,1135.525
516991,51699,1,1,Quinsam,89,Quinsam89,M,Wild,WCVI,790,27,77,21.44554348,493.2475,29.115,116.46,41.97575,419.7575,51.07583333,306.455,45.38828125,1335.92
516992,51699,2,2,Quinsam,90,Quinsam90,M,Wild,WCVI,660,28,66,20.19318182,444.25,24.2625,145.575,35.8265,358.265,39.167,195.835,36.94,1143.925
